Rrs[¦È_0,0,0](555)  Rrs[¦È_0,0,0](659)  Rrs[¦È_0,0,0](865)  Rrs[¦È_0,0,0](1375)  Rrs[¦È_0,0,0](1610)  Rrs[¦È_0,0,0](2250)  Rrs[¦È_0,¦È,¦¤¦Õ](555)  Rrs[¦È_0,¦È,¦¤¦Õ](659)  Rrs[¦È_0,¦È,¦¤¦Õ](865)  Rrs[¦È_0,¦È,¦¤¦Õ](1375)  Rrs[¦È_0,¦È,¦¤¦Õ](1610)  Rrs[¦È_0,¦È,¦¤¦Õ](2250)  
  4.64450462E-03   1.02413294E-03   8.52558563E-05   7.36549542E-07   5.11143848E-07   1.70935234E-07   5.20586626E-03   1.09402297E-03   9.14406141E-05   8.07001203E-07   5.60138438E-07   1.87120413E-07 
  2.57367695E-03   3.41845468E-04   2.31187281E-05   1.71428080E-07   1.13586519E-07   3.45814142E-08   2.51738482E-03   3.30551630E-04   2.24361141E-05   1.67124821E-07   1.10773118E-07   3.37237560E-08 
  4.18015594E-03   5.28309798E-04   3.64994145E-05   2.74347094E-07   1.81916538E-07   5.53078706E-08   4.19987442E-03   5.18502835E-04   3.54985359E-05   2.65200202E-07   1.75610345E-07   5.33150092E-08 
  5.21276843E-03   7.54178738E-04   5.26888309E-05   3.99000555E-07   2.65311833E-07   8.11892384E-08   5.34876698E-03   8.03699437E-04   5.94246171E-05   4.55617168E-07   3.03292484E-07   9.29372383E-08 
  9.44106287E-03   1.58508060E-03   1.16766848E-04   9.30143485E-07   6.21780805E-07   1.91625700E-07   9.49785486E-03   1.57995622E-03   1.13846216E-04   9.00957541E-07   6.02124042E-07   1.85480010E-07 
  1.71105257E-02   4.05840446E-03   3.26803000E-04   2.65252646E-06   1.77610139E-06   5.49082582E-07   1.80491954E-02   4.17264366E-03   3.05296272E-04   2.43231864E-06   1.63457179E-06   5.06430225E-07 
  6.06263833E-03   1.29769803E-03   1.03182051E-04   8.23632695E-07   5.51345826E-07   1.70814395E-07   6.12916222E-03   1.27625616E-03   9.68917581E-05   7.61345215E-07   5.09331364E-07   1.57693304E-07 
  5.06791188E-03   3.18122352E-03   3.18672990E-04   2.79697721E-06   1.93446627E-06   6.39634981E-07   6.00053541E-03   3.75932032E-03   3.53752101E-04   3.05406438E-06   2.11088185E-06   6.94213117E-07 
  5.35687189E-03   2.28237601E-03   2.26274280E-04   1.96765322E-06   1.36669679E-06   4.56442358E-07   5.32935461E-03   2.25751993E-03   2.18286492E-04   1.87234602E-06   1.30002763E-06   4.33996764E-07 
  6.19340248E-03   9.63279597E-04   7.32986659E-05   6.00285264E-07   4.09641273E-07   1.32438089E-07   6.17745130E-03   9.53684156E-04   7.32282731E-05   6.03601912E-07   4.12220329E-07   1.33486314E-07 
  6.00433688E-03   1.65101566E-03   1.32555302E-04   1.11289977E-06   7.61090960E-07   2.46393508E-07   6.07334188E-03   1.68906595E-03   1.39402744E-04   1.18169882E-06   8.08301095E-07   2.61187281E-07 
  1.08310684E-02   6.11386301E-03   5.84392127E-04   4.82028610E-06   3.28470914E-06   1.05419538E-06   1.10418898E-02   6.23009309E-03   5.86830460E-04   4.74636121E-06   3.23352179E-06   1.03736450E-06 
  3.47035068E-02   1.02942989E-02   6.21533821E-04   4.56357065E-06   3.00417254E-06   8.93614395E-07   3.54573289E-02   1.06874163E-02   6.87062240E-04   5.13865697E-06   3.38319362E-06   1.00647272E-06 
  1.32189225E-02   1.41528970E-02   1.45920964E-03   1.26363874E-05   8.41743485E-06   2.56937665E-06   1.43228239E-02   1.52775653E-02   1.31339395E-03   9.33627494E-06   6.21875213E-06   1.90069831E-06 
