rho_a(555)  rho_a(659)  rho_a(865)  rho_a(1375)  rho_a(1610)  rho_a(2250)  
  7.19103483E-03   5.64704519E-03   3.48541333E-03   1.37153610E-03   1.02273687E-03   6.92170314E-04 
  3.58771165E-04   3.20374729E-04   2.87057937E-04   2.68382670E-04   2.62803613E-04   2.43266016E-04 
  1.81307968E-04   1.55182988E-04   1.12229452E-04   6.16781863E-05   4.63147033E-05   2.74142874E-05 
  2.62659286E-03   1.92136430E-03   1.08426125E-03   4.38643832E-04   3.29652356E-04   1.90925418E-04 
  8.94954505E-03   7.61048893E-03   4.93827484E-03   1.49764254E-03   8.54335409E-04   2.48069414E-04 
  2.61900927E-03   2.18268869E-03   1.58725688E-03   9.12984595E-04   7.59855429E-04   5.31712103E-04 
  2.99416957E-02   2.45507603E-02   1.56557967E-02   4.70767634E-03   2.60320394E-03   6.03286888E-04 
  2.51028959E-03   2.09127112E-03   1.28509005E-03   6.10684156E-04   5.44881911E-04   4.79717114E-04 
  1.56961842E-04   1.47694994E-04   1.46479982E-04   1.48696941E-04   1.40878685E-04   1.16185457E-04 
  4.60068873E-02   3.83074974E-02   2.43791132E-02   6.58699016E-03   3.20231981E-03   4.68391512E-04 
  7.13372803E-03   6.20835016E-03   4.31241761E-03   2.13693728E-03   1.65309203E-03   1.01851657E-03 
  6.07890327E-03   6.01698892E-03   5.63010352E-03   5.24468649E-03   5.08705124E-03   4.33499030E-03 
  3.69455070E-03   2.82222777E-03   1.66656965E-03   5.72264331E-04   3.72557867E-04   1.57460859E-04 
  6.92236832E-03   6.40809606E-03   5.46648956E-03   5.01350641E-03   4.89217668E-03   4.43370067E-03 
  1.30766995E-02   1.08358122E-02   7.63627661E-03   3.52775926E-03   2.51268041E-03   1.25403302E-03 
  8.03688593E-03   6.58000901E-03   4.50951542E-03   2.34066397E-03   1.89026240E-03   1.26126942E-03 
  2.54930896E-03   2.02701445E-03   1.28925136E-03   5.97303267E-04   4.64812551E-04   2.95188267E-04 
  1.94358569E-02   1.55197595E-02   1.03925750E-02   4.40469920E-03   2.89399400E-03   9.91072538E-04 
  9.72879996E-05   7.65556174E-05   5.07365222E-05   2.30410798E-05   1.72659911E-05   1.11917790E-05 
  9.02507552E-03   7.87030844E-03   6.29569931E-03   4.91777622E-03   4.46739944E-03   3.86961893E-03 
  2.94212437E-03   2.20222356E-03   1.26126019E-03   4.20619967E-04   2.62512282E-04   7.57762996E-05 
  1.70184691E-03   1.31684330E-03   8.16352129E-04   2.73296928E-04   1.70331527E-04   6.64423178E-05 
  6.43785129E-05   6.11507717E-05   5.82297731E-05   5.80739482E-05   5.79128678E-05   4.96429265E-05 
  2.51409506E-02   2.28451723E-02   1.85897532E-02   1.13293543E-02   8.98222521E-03   5.02484768E-03 
  3.62305695E-04   3.16576165E-04   2.59345692E-04   2.11613028E-04   1.90072343E-04   1.34779518E-04 
  7.34812978E-03   6.45943592E-03   4.34459749E-03   1.77123316E-03   1.28030109E-03   7.58431635E-04 
  6.85881554E-05   6.46155659E-05   5.35551876E-05   4.16707004E-05   3.84785364E-05   3.15394274E-05 
  3.50266917E-02   3.44531007E-02   2.80296360E-02   1.93815343E-02   1.75413625E-02   1.41342074E-02 
  6.08441895E-05   5.39235185E-05   4.54610715E-05   3.48345380E-05   3.16728151E-05   2.61037227E-05 
  4.10207573E-03   3.25192727E-03   2.12064193E-03   7.26072535E-04   4.40389205E-04   1.46265828E-04 
  2.11120730E-04   1.65513095E-04   1.15255038E-04   6.23413735E-05   4.86268976E-05   2.93254219E-05 
  8.38611501E-03   8.52067114E-03   6.93179256E-03   5.69360771E-03   5.43251175E-03   4.61210662E-03 
  1.15525541E-03   9.00338759E-04   5.60724310E-04   2.34207720E-04   1.65700325E-04   8.07742125E-05 
  1.90213668E-02   1.54978502E-02   9.90108641E-03   3.29098669E-03   2.04039939E-03   7.56391944E-04 
  2.03558502E-04   1.50206514E-04   8.61479131E-05   2.50864308E-05   1.40796733E-05   3.83115205E-06 
  2.28680994E-02   1.83247863E-02   1.13037701E-02   3.34003247E-03   1.89733280E-03   5.11069929E-04 
  1.21751696E-03   9.76960061E-04   6.63865346E-04   2.97098621E-04   2.08643804E-04   8.60824555E-05 
  9.87347430E-04   8.34632534E-04   6.47207105E-04   4.78149637E-04   4.50881143E-04   4.08277513E-04 
  3.28794637E-03   2.83216272E-03   2.19173649E-03   1.30865151E-03   1.03571785E-03   6.10356968E-04 
  2.60407862E-03   2.20068372E-03   1.31232497E-03   3.91561978E-04   2.58145453E-04   1.33392074E-04 
  4.57248053E-02   4.17878988E-02   3.10119067E-02   1.54771967E-02   1.26323720E-02   9.06316811E-03 
  9.93284127E-05   8.24605765E-05   6.77244227E-05   4.78127577E-05   4.21119867E-05   3.36164177E-05 
  3.35999882E-02   2.76016584E-02   1.78610617E-02   5.57075539E-03   3.10116527E-03   6.49597696E-04 
  4.58583491E-04   3.91875001E-04   2.94319111E-04   1.93674404E-04   1.70194053E-04   1.27813522E-04 
  5.08300672E-03   4.49193221E-03   3.78690001E-03   2.90252973E-03   2.37539812E-03   1.56930010E-03 
  2.68476863E-04   2.11439207E-04   1.27677606E-04   3.57210415E-05   1.85582929E-05   2.88281617E-06 
  3.19534458E-02   2.77118225E-02   1.95588857E-02   8.30749297E-03   5.81407449E-03   3.14497342E-03 
