t(555)  t(659)  t(865)  t(1375)  t(1610)  t(2250)  
  8.21520827E-01   9.03647842E-01   9.64902267E-01   9.93111440E-01   9.95788026E-01   9.98100246E-01 
  9.01328993E-01   9.42393037E-01   9.76081894E-01   9.94307818E-01   9.94155319E-01   9.98284226E-01 
  8.65577835E-01   9.14954804E-01   9.52065304E-01   9.69585769E-01   9.71733772E-01   9.75908648E-01 
  9.07117523E-01   9.48169427E-01   9.80453204E-01   9.96388255E-01   9.97030091E-01   9.99437029E-01 
  8.06007378E-01   8.79096559E-01   9.37044880E-01   9.66521669E-01   9.70101879E-01   9.73844362E-01 
  7.25291054E-01   7.91701401E-01   8.63733425E-01   9.33136555E-01   9.47429882E-01   9.62629963E-01 
  8.77691290E-01   9.30966354E-01   9.72062926E-01   9.93826310E-01   9.96065346E-01   9.98312415E-01 
  8.98583827E-01   9.38046159E-01   9.71260720E-01   9.88677875E-01   9.91012073E-01   9.93635688E-01 
  8.99145840E-01   9.45207897E-01   9.79376584E-01   9.93459711E-01   9.95868264E-01   9.95983813E-01 
  7.29734228E-01   7.97894647E-01   8.64266155E-01   9.25495784E-01   9.36610070E-01   9.51881638E-01 
  7.93827121E-01   8.38415157E-01   8.79562768E-01   8.91800008E-01   8.96098230E-01   9.04339532E-01 
  6.53007952E-01   7.28154559E-01   8.21880152E-01   9.19793699E-01   9.42016239E-01   9.67777573E-01 
  8.36486075E-01   8.94360880E-01   9.44761107E-01   9.81959333E-01   9.85393021E-01   9.91285174E-01 
  9.07661364E-01   9.50397702E-01   9.81671828E-01   9.95938929E-01   9.97356701E-01   9.98618438E-01 
  9.12735483E-01   9.52052136E-01   9.82363563E-01   9.96586811E-01   9.97948539E-01   9.99100335E-01 
  9.09231059E-01   9.48746964E-01   9.77313871E-01   9.93551707E-01   9.95792509E-01   9.98710315E-01 
  7.32562874E-01   8.20286088E-01   9.07291459E-01   9.72037338E-01   9.81357247E-01   9.89432789E-01 
  8.92070729E-01   9.33630056E-01   9.69012699E-01   9.90282975E-01   9.93071186E-01   9.95737028E-01 
  5.70983989E-01   6.61931353E-01   7.86987131E-01   9.25478985E-01   9.49984502E-01   9.55250358E-01 
  8.28617248E-01   9.03408973E-01   9.64165865E-01   9.93206213E-01   9.95978845E-01   9.98352568E-01 
  8.65180837E-01   9.27739226E-01   9.73275072E-01   9.94099157E-01   9.96009895E-01   9.97749057E-01 
  4.43702031E-01   5.45834377E-01   7.04111311E-01   8.93920247E-01   9.33703250E-01   9.64656796E-01 
  7.47572656E-01   8.42995085E-01   9.26566198E-01   9.74483644E-01   9.79990264E-01   9.85115639E-01 
  8.73946726E-01   9.21205639E-01   9.58350281E-01   9.79293663E-01   9.82366790E-01   9.86744316E-01 
  8.82550401E-01   9.31109865E-01   9.69051264E-01   9.92443238E-01   9.95283796E-01   9.97325352E-01 
  8.40429190E-01   9.03832198E-01   9.50840020E-01   9.73672839E-01   9.77226418E-01   9.82090777E-01 
  7.38595410E-01   8.18502181E-01   8.96424179E-01   9.60257133E-01   9.70092750E-01   9.79547633E-01 
  8.59964715E-01   9.09604076E-01   9.46744101E-01   9.79724116E-01   9.75420172E-01   9.87512311E-01 
  9.05177022E-01   9.43554199E-01   9.73449662E-01   9.91592840E-01   9.94148085E-01   9.97076931E-01 
  6.71929231E-01   7.57416012E-01   8.57160002E-01   9.48106637E-01   9.65921464E-01   9.84657215E-01 
  8.81373803E-01   9.35473911E-01   9.77657858E-01   9.96384959E-01   9.98032857E-01   9.99381571E-01 
  8.77080546E-01   9.17649161E-01   9.42172724E-01   9.70193097E-01   9.76390968E-01   9.83140069E-01 
  9.00160826E-01   9.41430885E-01   9.72678771E-01   9.91665260E-01   9.94608975E-01   9.98000165E-01 
  8.87412703E-01   9.35458085E-01   9.73394057E-01   9.93403923E-01   9.95812795E-01   9.97934091E-01 
  8.91993242E-01   9.43086826E-01   9.80051267E-01   9.96074569E-01   9.97528157E-01   9.98833935E-01 
  6.37100044E-01   7.13357195E-01   8.07584636E-01   9.00838077E-01   9.15761539E-01   9.33443735E-01 
  9.10141199E-01   9.52304367E-01   9.81553496E-01   9.95489663E-01   9.96952967E-01   9.98374791E-01 
  7.99992039E-01   8.81301926E-01   9.49210772E-01   9.85215205E-01   9.89665457E-01   9.94057194E-01 
  9.08297318E-01   9.51952948E-01   9.83667765E-01   9.97223950E-01   9.98450254E-01   9.99485849E-01 
  5.95617269E-01   6.67866035E-01   7.59179770E-01   8.33387795E-01   8.44257219E-01   8.59554606E-01 
  8.58429536E-01   9.23756904E-01   9.72703983E-01   9.93610233E-01   9.95646942E-01   9.97983151E-01 
  8.60214281E-01   9.10584115E-01   9.55640648E-01   9.86466945E-01   9.90940991E-01   9.94955095E-01 
  8.71096380E-01   9.29131522E-01   9.73852855E-01   9.94996050E-01   9.97033317E-01   9.98808774E-01 
  7.91718024E-01   8.65682800E-01   9.23965349E-01   9.51844485E-01   9.55081310E-01   9.59317550E-01 
  9.06674455E-01   9.46964065E-01   9.78672198E-01   9.94825047E-01   9.96751779E-01   9.98650243E-01 
  7.44504488E-01   8.12149428E-01   8.72820376E-01   9.51329342E-01   9.66321540E-01   9.80099550E-01 
  9.16066642E-01   9.54279507E-01   9.82863728E-01   9.95264743E-01   9.98374419E-01   9.99522099E-01 
  6.64955832E-01   7.47165629E-01   8.40813417E-01   9.41733617E-01   9.60456723E-01   9.77751885E-01 
  8.74843427E-01   9.28280640E-01   9.70324258E-01   9.92495741E-01   9.94848944E-01   9.97901342E-01 
  8.99774359E-01   9.42844072E-01   9.76737481E-01   9.93441808E-01   9.93953994E-01   9.97064953E-01 
  8.10606814E-01   8.89174646E-01   9.52223662E-01   9.84721448E-01   9.89459913E-01   9.93139710E-01 
  8.19379087E-01   8.99385021E-01   9.60507150E-01   9.91434371E-01   9.94685375E-01   9.97523561E-01 
  4.54074240E-01   5.36201097E-01   6.68867280E-01   8.05272044E-01   8.29638842E-01   8.60310156E-01 
  8.96092593E-01   9.44459174E-01   9.80538598E-01   9.96455666E-01   9.97930454E-01   9.98290385E-01 
  5.68881883E-01   6.64164554E-01   7.86584912E-01   9.21054774E-01   9.46944994E-01   9.69401954E-01 
  9.14581384E-01   9.53079122E-01   9.81663974E-01   9.96136066E-01   9.97598545E-01   9.99026071E-01 
  8.16777983E-01   8.85753621E-01   9.40344280E-01   9.73686217E-01   9.78008707E-01   9.82700765E-01 
  8.81222049E-01   9.36789660E-01   9.77086360E-01   9.86548829E-01   9.97277686E-01   9.88909752E-01 
  5.47385774E-01   6.30942324E-01   7.53200533E-01   8.82562974E-01   9.06246182E-01   9.30008789E-01 
  8.61317095E-01   9.23215801E-01   9.73613986E-01   9.94836635E-01   9.97040975E-01   9.98883803E-01 
  6.70205654E-01   7.54732462E-01   8.47151136E-01   9.35265328E-01   9.32116510E-01   9.65866007E-01 
  9.12955430E-01   9.52602563E-01   9.82614847E-01   9.96940029E-01   9.98248451E-01   9.99311127E-01 
  9.01168848E-01   9.46429701E-01   9.79872981E-01   9.95276494E-01   9.96963115E-01   9.98777604E-01 
  9.16805304E-01   9.54764282E-01   9.83355354E-01   9.96735751E-01   9.97969199E-01   9.99043516E-01 
  8.95896760E-01   9.44940041E-01   9.79428133E-01   9.95882339E-01   9.97470374E-01   9.98872011E-01 
  8.11032408E-01   8.67673728E-01   9.24754080E-01   9.73762953E-01   9.81916754E-01   9.89402274E-01 
  6.58575991E-01   7.41312423E-01   8.37851393E-01   9.32872421E-01   9.51322333E-01   9.72248149E-01 
  9.03225183E-01   9.46213108E-01   9.77992165E-01   9.94681495E-01   9.96589025E-01   9.99020465E-01 
  9.08993122E-01   9.52009946E-01   9.82598920E-01   9.96878457E-01   9.98246927E-01   9.99407780E-01 
  9.03554381E-01   9.48904827E-01   9.82329410E-01   9.96995886E-01   9.98352636E-01   9.99492295E-01 
  9.08821820E-01   9.51878305E-01   9.83395965E-01   9.97273596E-01   9.98530422E-01   9.99622236E-01 
  8.32031792E-01   9.05450520E-01   9.61645134E-01   9.91022073E-01   9.93870564E-01   9.96442130E-01 
  7.78207291E-01   8.56143770E-01   9.26885480E-01   9.70007723E-01   9.75557148E-01   9.81239597E-01 
  8.56190170E-01   9.07727391E-01   9.51093238E-01   9.77782121E-01   9.82832872E-01   9.88182232E-01 
