R_toa(412)  R_toa(443)  R_toa(486)  R_toa(551)  R_toa(671)  R_toa(745)  R_toa(862)  R_toa(1238)  R_toa(1610)  R_toa(2257)  
  7.25964570E-02   6.37492781E-02   5.58301160E-02   4.94301980E-02   3.04302034E-02   2.08246869E-02   1.57235736E-02   6.55628170E-03   2.85148022E-03   8.53149467E-04 
  5.44748300E-02   4.42319684E-02   3.31101156E-02   2.27700994E-02   9.34162530E-03   5.63752619E-03   3.32637819E-03   7.78375686E-04   2.76506313E-04   6.75590287E-05 
  7.11869473E-02   6.23616309E-02   5.25214310E-02   4.17480746E-02   2.46133861E-02   1.85044800E-02   1.39034890E-02   6.13061653E-03   3.29373986E-03   1.71330609E-03 
  4.06401349E-02   3.24394967E-02   2.73046269E-02   2.52878676E-02   1.34405107E-02   5.62121039E-03   3.24687807E-03   5.41990600E-04   2.13748352E-04   7.71886669E-05 
  3.95735662E-02   3.11250523E-02   2.35334051E-02   1.71148911E-02   7.18377330E-03   4.06072940E-03   2.33054733E-03   4.95986366E-04   1.79573968E-04   4.91801852E-05 
  4.69399901E-02   3.86631333E-02   3.25363253E-02   2.98669621E-02   1.28565255E-02   6.19717384E-03   4.02508951E-03   1.41605607E-03   8.57681156E-04   4.44907910E-04 
  4.27766388E-02   3.38683817E-02   2.48623618E-02   1.63463894E-02   8.27236936E-03   5.85479230E-03   3.89565064E-03   1.35346264E-03   5.72239181E-04   1.59812607E-04 
  5.95622614E-02   4.72822035E-02   3.66274211E-02   2.83857730E-02   1.37562282E-02   7.04153792E-03   4.13502840E-03   8.81604942E-04   3.38502536E-04   1.09735229E-04 
  5.46904017E-02   4.39058485E-02   3.25568054E-02   2.09223099E-02   1.00252743E-02   6.72147354E-03   4.17553799E-03   1.23766725E-03   5.43981182E-04   2.10902276E-04 
  4.10761553E-02   3.26214822E-02   2.48262694E-02   1.82830472E-02   7.26905969E-03   4.08367305E-03   2.35394517E-03   5.10974417E-04   1.83813022E-04   4.84246471E-05 
  3.65900850E-02   2.88577397E-02   2.24802764E-02   1.76032234E-02   6.86172453E-03   3.62329381E-03   2.09114001E-03   4.43584985E-04   1.68739438E-04   5.48942160E-05 
  2.39689079E-02   1.88150821E-02   1.35697348E-02   8.26071451E-03   4.14202789E-03   2.87125032E-03   1.79872994E-03   5.50921679E-04   2.52613728E-04   9.78205583E-05 
  5.02788669E-02   3.95762985E-02   3.04608249E-02   2.36053280E-02   9.73522234E-03   5.22384847E-03   3.04497708E-03   6.71812371E-04   2.44250397E-04   6.63410331E-05 
  4.28253779E-02   3.57495409E-02   3.03482506E-02   2.75650975E-02   1.40805013E-02   9.75907059E-03   8.56680942E-03   7.33025068E-03   6.90240714E-03   5.71291627E-03 
  4.01104649E-02   3.42929045E-02   3.06313826E-02   3.08874318E-02   1.48620178E-02   5.49966829E-03   3.33289512E-03   7.53670994E-04   3.17906829E-04   1.03969032E-04 
  3.97611416E-02   3.12013903E-02   2.44528748E-02   1.99583909E-02   8.31491368E-03   4.28467869E-03   2.50828641E-03   5.60457387E-04   2.37647781E-04   9.23691167E-05 
  4.41041859E-02   3.59030132E-02   2.60716323E-02   1.64457852E-02   8.90598195E-03   6.65197107E-03   4.80104288E-03   2.35108409E-03   1.59778961E-03   9.70036268E-04 
  3.98133309E-02   3.12688551E-02   2.24741284E-02   1.42671231E-02   6.47731342E-03   4.23708155E-03   2.55000014E-03   6.76991164E-04   2.60518784E-04   7.08655897E-05 
  7.64350606E-02   6.71760031E-02   5.84001381E-02   4.97867800E-02   3.07190669E-02   2.22451377E-02   1.62822554E-02   5.75297761E-03   1.89734534E-03   2.89699885E-04 
  4.04551539E-02   3.20153230E-02   2.50259791E-02   2.00496374E-02   8.58515651E-03   4.89346337E-03   3.07967100E-03   9.67227471E-04   4.92611530E-04   2.36778020E-04 
  5.47508026E-02   4.61104518E-02   3.75726206E-02   2.87018845E-02   1.93053442E-02   1.49428424E-02   1.10574410E-02   4.22390483E-03   1.58563874E-03   3.14468776E-04 
  5.04787165E-02   3.93961148E-02   2.98861302E-02   2.20523117E-02   9.59848608E-03   5.31517050E-03   3.09296575E-03   6.52599759E-04   2.27617876E-04   5.79957161E-05 
  3.73986090E-02   2.88100028E-02   2.04486198E-02   1.28333674E-02   5.59572951E-03   3.56322517E-03   2.06156656E-03   4.91294232E-04   1.89847697E-04   6.06806668E-05 
  3.27718781E-02   2.57012716E-02   1.78413266E-02   1.07496574E-02   4.60376098E-03   2.91484773E-03   1.68885334E-03   4.36838086E-04   2.18286984E-04   1.26432861E-04 
  5.10263200E-02   4.29205046E-02   3.61867514E-02   3.08603114E-02   1.96508128E-02   9.04756516E-03   5.62065721E-03   1.36699576E-03   6.35003988E-04   2.63542818E-04 
  3.88002238E-02   3.12547660E-02   2.38305104E-02   1.75844201E-02   6.80512953E-03   3.83882566E-03   2.22326175E-03   4.95908376E-04   1.84372626E-04   5.01120156E-05 
  4.85233844E-02   4.09097221E-02   3.23934436E-02   2.38272206E-02   1.43581104E-02   1.12849427E-02   8.73034704E-03   4.88275946E-03   3.47031720E-03   2.38921028E-03 
  4.77122934E-02   3.89333520E-02   2.94466316E-02   2.06751985E-02   9.76675023E-03   6.70530655E-03   4.66453986E-03   2.10069243E-03   1.25310535E-03   5.87302482E-04 
  5.87511284E-02   4.79380965E-02   3.59114977E-02   2.34741692E-02   1.35222663E-02   1.03692422E-02   7.57210612E-03   3.73833816E-03   2.26131287E-03   9.82155650E-04 
