t(412)  t(443)  t(486)  t(551)  t(671)  t(745)  t(862)  t(1238)  t(1610)  t(2257)  
  8.42780286E-01   8.82322736E-01   9.16400926E-01   9.46792125E-01   9.74284862E-01   9.82060773E-01   9.89741837E-01   9.97360567E-01   9.98882431E-01   9.99548715E-01 
  7.95247170E-01   8.43333089E-01   8.81926520E-01   9.19823567E-01   9.50393591E-01   9.62048289E-01   9.74126808E-01   9.90266972E-01   9.95468064E-01   9.97899896E-01 
  7.99448287E-01   8.44910902E-01   8.82875256E-01   9.17397415E-01   9.45951305E-01   9.54940822E-01   9.66550143E-01   9.84048390E-01   9.91597786E-01   9.96411634E-01 
  6.68437524E-01   7.27533070E-01   7.87778331E-01   8.49163601E-01   8.98021484E-01   9.17190814E-01   9.38750784E-01   9.67912591E-01   9.80346558E-01   9.88601897E-01 
  8.55239198E-01   8.89225085E-01   9.19400472E-01   9.46793763E-01   9.73610330E-01   9.81542242E-01   9.88441464E-01   9.96217179E-01   9.98198174E-01   9.99130450E-01 
  8.39324708E-01   8.80145501E-01   9.14695312E-01   9.45042348E-01   9.70654804E-01   9.79070027E-01   9.86559183E-01   9.95170636E-01   9.97495626E-01   9.98693696E-01 
  8.32615675E-01   8.78855705E-01   9.14506753E-01   9.46504426E-01   9.73130654E-01   9.81699961E-01   9.88984675E-01   9.96643317E-01   9.98434391E-01   9.99261397E-01 
  7.68447881E-01   8.13280353E-01   8.59118461E-01   9.04870025E-01   9.51681554E-01   9.67106638E-01   9.79989783E-01   9.94498130E-01   9.97751316E-01   9.99108810E-01 
  7.04850549E-01   7.39124612E-01   7.88847800E-01   8.41856494E-01   9.06058959E-01   9.28408742E-01   9.47697278E-01   9.76331445E-01   9.83510051E-01   9.87183855E-01 
  8.72385960E-01   9.00530195E-01   9.24643881E-01   9.47013956E-01   9.73640408E-01   9.83401168E-01   9.88574439E-01   9.94748849E-01   9.97464055E-01   9.99058569E-01 
  7.75385505E-01   8.23149680E-01   8.69117329E-01   9.13473348E-01   9.57074312E-01   9.71273533E-01   9.82949243E-01   9.95513382E-01   9.98144153E-01   9.99295711E-01 
  7.21680565E-01   7.60522061E-01   7.97669269E-01   8.35828351E-01   8.81447541E-01   9.03024073E-01   9.24890707E-01   9.55499237E-01   9.69716516E-01   9.78647901E-01 
  7.47842685E-01   7.97372282E-01   8.44235081E-01   8.89412561E-01   9.36411641E-01   9.52528165E-01   9.68024037E-01   9.88535571E-01   9.94501403E-01   9.97120124E-01 
  8.06032405E-01   8.50796402E-01   8.88589859E-01   9.23818758E-01   9.53610815E-01   9.63955356E-01   9.75166075E-01   9.90341449E-01   9.95199416E-01   9.97487271E-01 
  7.40146440E-01   7.90285199E-01   8.42877942E-01   8.95362948E-01   9.48968811E-01   9.66433041E-01   9.99154540E-01   9.94927951E-01   9.97793727E-01   9.99025948E-01 
  8.60987482E-01   8.96511893E-01   9.27902297E-01   9.54842351E-01   9.77109397E-01   9.83234449E-01   9.89358227E-01   9.96340014E-01   9.98150871E-01   9.99068960E-01 
  8.52484339E-01   8.87342507E-01   9.16797320E-01   9.42854710E-01   9.67124936E-01   9.70982017E-01   9.77098047E-01   9.83370677E-01   9.85538637E-01   9.87458990E-01 
  8.19422621E-01   8.56306473E-01   8.90997201E-01   9.23602846E-01   9.57537702E-01   9.67471543E-01   9.77353633E-01   9.91383337E-01   9.96122936E-01   9.98468870E-01 
  7.98590926E-01   8.45878528E-01   8.88668021E-01   9.27361774E-01   9.59336284E-01   9.72960860E-01   9.82557258E-01   9.93742413E-01   9.96883168E-01   9.98729839E-01 
  8.18445084E-01   8.57666804E-01   8.94330163E-01   9.29239332E-01   9.64154213E-01   9.75752439E-01   9.85071578E-01   9.95603516E-01   9.98097059E-01   9.99244653E-01 
  7.75743722E-01   8.28211987E-01   8.74038458E-01   9.17607686E-01   9.56008622E-01   9.68765381E-01   9.80474037E-01   9.93599322E-01   9.96667980E-01   9.98080063E-01 
  8.45297001E-01   8.86904819E-01   9.20183008E-01   9.49933076E-01   9.74899463E-01   9.82758434E-01   9.89501706E-01   9.96735598E-01   9.98487688E-01   9.99302571E-01 
  8.15757985E-01   8.74585773E-01   8.94960767E-01   9.31631248E-01   9.67137041E-01   9.78496766E-01   9.87552315E-01   9.96973111E-01   9.98813611E-01   9.99608273E-01 
  8.30893593E-01   8.73611670E-01   9.08985805E-01   9.40479259E-01   9.64502209E-01   9.72489869E-01   9.81406288E-01   9.92346561E-01   9.95538044E-01   9.97168659E-01 
  7.64980407E-01   8.15230837E-01   8.63533735E-01   9.10233301E-01   9.55103017E-01   9.70014647E-01   9.82294714E-01   9.95341646E-01   9.97967051E-01   9.99103775E-01 
  7.66433749E-01   8.07960149E-01   8.53160894E-01   8.98536177E-01   9.45883381E-01   9.61612515E-01   9.75151357E-01   9.91567507E-01   9.95909590E-01   9.98166549E-01 
  7.59556750E-01   8.06021511E-01   8.47424742E-01   8.86457102E-01   9.21686594E-01   9.29195569E-01   9.46681337E-01   9.76442727E-01   9.88009986E-01   9.93398572E-01 
  8.68619919E-01   9.00979085E-01   9.28563819E-01   9.52235124E-01   9.75998000E-01   9.82488959E-01   9.88386805E-01   9.95165385E-01   9.96930994E-01   9.97978980E-01 
  8.63828819E-01   8.98990736E-01   9.28592968E-01   9.54240739E-01   9.77084070E-01   9.83186290E-01   9.89676338E-01   9.96895333E-01   9.98598912E-01   9.99425229E-01 
  7.53271111E-01   8.02749366E-01   8.51746484E-01   9.00802442E-01   9.49288248E-01   9.65627994E-01   9.79232752E-01   9.94271464E-01   9.97569073E-01   9.98991485E-01 
  8.64312809E-01   9.00488931E-01   9.30124530E-01   9.55786062E-01   9.78981738E-01   9.85477249E-01   9.91556684E-01   9.97850749E-01   9.99118654E-01   9.99712934E-01 
  7.72492029E-01   8.19801294E-01   8.60069643E-01   8.98626641E-01   9.32363081E-01   9.45191603E-01   9.59053119E-01   9.79613325E-01   9.87995260E-01   9.92724607E-01 
  8.17618265E-01   8.54622334E-01   8.92187591E-01   9.28909316E-01   9.65711093E-01   9.77028166E-01   9.86645030E-01   9.96814015E-01   9.98823602E-01   9.99670304E-01 
  7.29895280E-01   7.74646153E-01   8.25030626E-01   8.80124893E-01   9.40689213E-01   9.60277286E-01   9.76515972E-01   9.93958728E-01   9.97453698E-01   9.98933553E-01 
  7.24939012E-01   7.76161784E-01   8.20567690E-01   8.63638826E-01   9.00171450E-01   9.05868491E-01   9.26993798E-01   9.65678846E-01   9.82100666E-01   9.90195956E-01 
  7.14315857E-01   7.69492673E-01   8.23820528E-01   8.77794547E-01   9.30779077E-01   9.49987021E-01   9.67169521E-01   9.89047143E-01   9.95148511E-01   9.98353770E-01 
  8.26642924E-01   8.64888255E-01   9.00017245E-01   9.32896156E-01   9.65247600E-01   9.75739995E-01   9.84068293E-01   9.93142647E-01   9.95266959E-01   9.96699492E-01 
  8.11625466E-01   8.54094876E-01   8.91477336E-01   9.23577895E-01   9.48905893E-01   9.53835172E-01   9.63465423E-01   9.77688930E-01   9.84035201E-01   9.87914151E-01 
  7.20365460E-01   7.66506637E-01   8.17841129E-01   8.71886745E-01   9.30335633E-01   9.49931620E-01   9.66062914E-01   9.83903061E-01   9.87915256E-01   9.90081463E-01 
  7.26373243E-01   7.75367079E-01   8.18973442E-01   8.59733216E-01   9.13079410E-01   9.28875739E-01   9.46465391E-01   9.72683871E-01   9.84642656E-01   9.91668717E-01 
  7.60168518E-01   8.11272006E-01   8.61572029E-01   9.09568053E-01   9.55996636E-01   9.70510543E-01   9.82764270E-01   9.95594443E-01   9.98104278E-01   9.99183877E-01 
  8.69578526E-01   9.04396372E-01   9.33034618E-01   9.57497691E-01   9.79494015E-01   9.85785883E-01   9.91666058E-01   9.97823765E-01   9.99098513E-01   9.99612172E-01 
  8.64117566E-01   8.98018558E-01   9.27146762E-01   9.53371228E-01   9.77241821E-01   9.83903279E-01   9.90637667E-01   9.97762854E-01   9.99166062E-01   9.99767282E-01 
  8.58253513E-01   8.95665979E-01   9.26406309E-01   9.53476954E-01   9.76242156E-01   9.82813076E-01   9.89797402E-01   9.97201511E-01   9.98732807E-01   9.99526741E-01 
  8.63386921E-01   8.97385764E-01   9.26547742E-01   9.52472605E-01   9.77728464E-01   9.85058701E-01   9.91355797E-01   9.97924397E-01   9.99212102E-01   9.99792602E-01 
  7.72787630E-01   8.19495206E-01   8.65517679E-01   9.10790545E-01   9.56083373E-01   9.70516571E-01   9.82822840E-01   9.95708460E-01   9.98177099E-01   9.99245621E-01 
  8.32419820E-01   8.76819756E-01   9.13024102E-01   9.45321032E-01   9.70477924E-01   9.77021329E-01   9.83591235E-01   9.90228114E-01   9.92707033E-01   9.95754313E-01 
  8.48946765E-01   8.91778974E-01   9.22732683E-01   9.51287386E-01   9.74504783E-01   9.82093848E-01   9.89364082E-01   9.96771109E-01   9.98200799E-01   9.98864467E-01 
  7.81476416E-01   8.20042280E-01   8.60622330E-01   9.03783947E-01   9.51112434E-01   9.66381882E-01   9.79553004E-01   9.93989294E-01   9.97025914E-01   9.98377723E-01 
  7.60810787E-01   8.02019325E-01   8.51579167E-01   9.00019058E-01   9.50602722E-01   9.66700199E-01   9.80267145E-01   9.94980748E-01   9.97994549E-01   9.99317881E-01 
  7.25509473E-01   7.76756593E-01   8.23305328E-01   8.68308843E-01   9.04637137E-01   9.15363160E-01   9.35500807E-01   9.69908479E-01   9.83839559E-01   9.90586429E-01 
