rho_a(412)  rho_a(443)  rho_a(486)  rho_a(551)  rho_a(671)  rho_a(745)  rho_a(862)  rho_a(1238)  rho_a(1610)  rho_a(2257)  
  2.10814622E-03   2.20076277E-03   2.19075869E-03   2.04017857E-03   1.68426004E-03   1.48083774E-03   1.22409941E-03   7.06445452E-04   4.39763472E-04   2.40855975E-04 
  6.26028650E-04   6.28122579E-04   5.91014590E-04   5.17249570E-04   3.90103666E-04   3.25911620E-04   2.47360394E-04   1.12357141E-04   5.56611511E-05   2.39751125E-05 
  3.73407623E-03   4.13393938E-03   4.56021541E-03   5.01989966E-03   5.67924817E-03   5.97944152E-03   6.41048115E-03   7.16367108E-03   7.28098027E-03   6.62455432E-03 
  1.85696523E-03   1.76249048E-03   1.61643866E-03   1.41229106E-03   1.12173716E-03   9.78988645E-04   8.03253249E-04   4.42317336E-04   2.47411969E-04   1.06538376E-04 
  1.95415319E-04   2.02408616E-04   1.99096944E-04   1.90410543E-04   1.69602847E-04   1.57813568E-04   1.42165196E-04   1.07362686E-04   8.55859569E-05   6.18650867E-05 
  2.61099019E-03   3.25999827E-03   3.86045878E-03   4.34333927E-03   4.61634221E-03   4.58150366E-03   4.36442997E-03   3.45808335E-03   2.85758471E-03   2.13890927E-03 
  1.55022331E-03   1.47338159E-03   1.34830651E-03   1.17053670E-03   9.14136221E-04   7.90054272E-04   6.38203364E-04   3.24469420E-04   1.56206892E-04   5.37493583E-05 
  3.24428881E-02   3.22904218E-02   3.10023786E-02   2.78981256E-02   2.17623568E-02   1.82730111E-02   1.38180274E-02   5.41318905E-03   1.85135920E-03   2.88267256E-04 
  2.22637483E-03   2.14298813E-03   1.98908449E-03   1.75705565E-03   1.38494678E-03   1.20162496E-03   9.83803059E-04   5.82058171E-04   3.87260575E-04   2.43927574E-04 
  2.86270950E-02   2.81970693E-02   2.66575193E-02   2.37742659E-02   1.86107521E-02   1.57715469E-02   1.21710760E-02   5.19689458E-03   2.04401606E-03   4.28019778E-04 
  5.24937529E-04   5.49264943E-04   5.34588626E-04   4.80510403E-04   3.63775472E-04   2.99775350E-04   2.20511210E-04   8.66079570E-05   3.70607293E-05   1.45747540E-05 
  4.33495284E-04   4.17797771E-04   3.81017380E-04   3.23007640E-04   2.37923682E-04   1.99169920E-04   1.55067661E-04   8.17684173E-05   5.02200074E-05   3.04768109E-05 
  1.21163255E-04   1.36701783E-04   1.42872508E-04   1.45788676E-04   1.43903886E-04   1.42304298E-04   1.41239675E-04   1.50044727E-04   1.63309378E-04   1.75542973E-04 
  5.83119992E-03   5.93132911E-03   5.65147537E-03   4.94907442E-03   3.80108375E-03   3.27936334E-03   2.67769025E-03   1.55947702E-03   9.68938916E-04   5.53327761E-04 
  4.20979228E-04   4.18586082E-04   3.94972219E-04   3.44249340E-04   2.55220825E-04   2.11098087E-04   1.58581773E-04   7.49583881E-05   4.07922683E-05   1.68160010E-05 
  1.52773531E-02   1.50374352E-02   1.43445810E-02   1.29816434E-02   1.06152734E-02   9.36286941E-03   7.85861347E-03   5.20011162E-03   4.00485576E-03   3.06204535E-03 
  4.43282370E-03   4.35252725E-03   4.16779053E-03   3.87142825E-03   3.39457092E-03   3.15892423E-03   2.82398901E-03   2.03267526E-03   1.43301431E-03   7.85765493E-04 
  1.44847064E-02   1.43015848E-02   1.35691679E-02   1.20569637E-02   9.75351193E-03   8.71476581E-03   7.44219527E-03   5.02628058E-03   3.46945680E-03   1.74073140E-03 
  2.48090311E-04   2.51857253E-04   2.36420623E-04   2.09507510E-04   1.61568656E-04   1.38188729E-04   1.09900423E-04   6.41131919E-05   4.62236281E-05   3.46596234E-05 
  3.34837823E-04   3.48267142E-04   3.39314494E-04   3.06399167E-04   2.42267221E-04   2.10354601E-04   1.72639079E-04   1.06498464E-04   7.63913194E-05   5.49191609E-05 
  7.00002874E-03   6.74597880E-03   6.23224964E-03   5.33347772E-03   3.90977127E-03   3.22211348E-03   2.42506632E-03   1.05757688E-03   4.71859897E-04   1.65061538E-04 
  1.25160388E-02   1.19815447E-02   1.10840779E-02   9.75072086E-03   7.74665114E-03   6.75428171E-03   5.49159722E-03   2.86859955E-03   1.43630353E-03   4.60274506E-04 
  3.98340396E-02   4.13071042E-02   4.12943702E-02   3.90152069E-02   3.24080441E-02   2.80065764E-02   2.19703538E-02   1.01232344E-02   4.97145302E-03   2.05993377E-03 
  2.60413284E-03   2.62203618E-03   2.49176361E-03   2.18237308E-03   1.61413853E-03   1.33023153E-03   1.00761753E-03   5.27524590E-04   3.71294878E-04   2.92963057E-04 
  2.58724483E-03   2.47770328E-03   2.28384044E-03   1.98414549E-03   1.53140502E-03   1.31213197E-03   1.04460862E-03   5.56074217E-04   3.24355921E-04   1.70549162E-04 
  1.45742712E-03   1.40973878E-03   1.31253648E-03   1.16021484E-03   9.43246611E-04   8.39650660E-04   7.17769132E-04   4.59398002E-04   3.06766140E-04   1.80421373E-04 
  1.70400753E-03   1.74088665E-03   1.67269832E-03   1.47099874E-03   1.07066786E-03   8.60113864E-04   6.07224634E-04   2.10288328E-04   7.83979849E-05   2.20214423E-05 
  4.66253107E-03   5.16850122E-03   5.42079606E-03   5.30121479E-03   4.48760769E-03   3.90752757E-03   3.11847309E-03   1.68678331E-03   1.11541991E-03   7.77821047E-04 
  7.58301833E-03   7.99856189E-03   8.07092431E-03   7.55466484E-03   6.05189620E-03   5.10202071E-03   3.84699102E-03   1.44070090E-03   4.41386812E-04   4.86596795E-05 
  5.68902638E-04   5.58457137E-04   5.14482654E-04   4.43613700E-04   3.32031163E-04   2.77624017E-04   2.12602469E-04   9.82227671E-05   4.72959746E-05   1.76137454E-05 
  2.11313144E-02   2.09294934E-02   2.01703493E-02   1.87393327E-02   1.61058007E-02   1.46157345E-02   1.26396206E-02   8.31661988E-03   5.66239473E-03   3.29721511E-03 
  1.00933582E-02   1.09541225E-02   1.11699949E-02   1.03671074E-02   8.08431761E-03   6.75515782E-03   5.10010858E-03   2.10098537E-03   8.55350757E-04   2.18179157E-04 
  5.37931927E-03   5.17281289E-03   4.79936004E-03   4.17622237E-03   3.17673631E-03   2.67349351E-03   2.06607915E-03   9.58448618E-04   4.66080432E-04   1.90065015E-04 
  2.57761196E-04   2.72944470E-04   2.64167199E-04   2.39657066E-04   1.90005787E-04   1.63205557E-04   1.29877069E-04   7.28698086E-05   4.94711130E-05   3.48099048E-05 
  1.95194305E-03   1.86441340E-03   1.71245823E-03   1.47640324E-03   1.12846096E-03   9.62076356E-04   7.65636937E-04   4.02247956E-04   2.26445879E-04   1.12790101E-04 
  5.04714213E-03   5.51202264E-03   6.01660629E-03   6.59822790E-03   7.21057864E-03   7.44392544E-03   7.71218838E-03   7.82775446E-03   7.29976332E-03   5.97732971E-03 
  7.86487541E-03   7.80503676E-03   7.36223470E-03   6.43045656E-03   4.72212302E-03   3.82907297E-03   2.75993508E-03   9.90605280E-04   3.35825937E-04   5.40156071E-05 
  3.22810194E-03   3.09337269E-03   2.81972377E-03   2.40004844E-03   1.81972265E-03   1.56593135E-03   1.28285236E-03   7.43792441E-04   4.36851747E-04   1.74256923E-04 
  4.41984802E-03   5.12631412E-03   5.56514796E-03   5.51730869E-03   4.51063750E-03   3.75305548E-03   2.72302058E-03   9.46049009E-04   3.61464005E-04   1.29193124E-04 
  1.64390883E-03   1.60545456E-03   1.51231393E-03   1.35934381E-03   1.11586241E-03   9.85995650E-04   8.28603266E-04   4.76152798E-04   2.85336723E-04   1.31549706E-04 
  1.68201887E-03   1.61853012E-03   1.49021335E-03   1.28205000E-03   9.59814587E-04   8.02963164E-04   6.14752231E-04   2.84522422E-04   1.40733744E-04   6.22041314E-05 
  4.64992570E-04   4.81470232E-04   4.64445309E-04   4.10122439E-04   3.01455637E-04   2.44343493E-04   1.76679018E-04   7.50062571E-05   4.22550358E-05   2.67489908E-05 
  4.14570580E-03   4.14565485E-03   4.00671860E-03   3.68790137E-03   3.10859511E-03   2.82515610E-03   2.48026577E-03   1.80835289E-03   1.43589958E-03   1.05137548E-03 
  1.04306261E-03   1.09286533E-03   1.07182674E-03   9.64623598E-04   7.31956716E-04   6.04487207E-04   4.49935736E-04   2.00748444E-04   1.13512699E-04   6.98595678E-05 
  9.58389751E-03   1.08537861E-02   1.14322545E-02   1.08739294E-02   8.50766111E-03   7.04765472E-03   5.22329553E-03   2.31758893E-03   1.41874889E-03   1.04732515E-03 
  1.42171138E-02   1.38478962E-02   1.29973222E-02   1.14766764E-02   8.86339082E-03   7.46745610E-03   5.71034757E-03   2.49192523E-03   1.11458533E-03   3.79827444E-04 
  1.91605206E-03   2.00549518E-03   2.08347862E-03   2.11114220E-03   2.13026682E-03   2.12451316E-03   2.09700967E-03   1.96075659E-03   1.78150963E-03   1.40675367E-03 
  7.82293424E-04   7.49162870E-04   6.93356774E-04   6.13838069E-04   4.89774191E-04   4.28522462E-04   3.50244847E-04   1.94873605E-04   1.11686053E-04   4.70789790E-05 
  1.84692679E-03   1.93296601E-03   1.90337084E-03   1.71009979E-03   1.26902874E-03   1.02560682E-03   7.31710747E-04   2.71733247E-04   1.23653897E-04   6.23116380E-05 
  4.02899784E-04   4.16309950E-04   4.03734427E-04   3.62136772E-04   2.90270155E-04   2.57859690E-04   2.22903130E-04   1.60888327E-04   1.21219875E-04   7.55618512E-05 
  1.29675774E-02   1.27059356E-02   1.19487845E-02   1.08027868E-02   8.74259269E-03   7.63388114E-03   6.26120090E-03   3.69183930E-03   2.48392409E-03   1.62237937E-03 
  4.96073556E-04   5.30082641E-04   5.23256979E-04   4.66525990E-04   3.36269716E-04   2.65841335E-04   1.81670993E-04   5.67856968E-05   2.01970672E-05   6.97641169E-06 
  7.93950164E-04   9.00682570E-04   9.41700739E-04   8.94471165E-04   7.01893581E-04   5.82185241E-04   4.31331056E-04   2.04382652E-04   1.39719365E-04   1.11895281E-04 
  2.22258197E-02   2.17683514E-02   2.06095034E-02   1.84558037E-02   1.45172256E-02   1.23169530E-02   9.51152101E-03   4.24480468E-03   1.96895529E-03   7.38721511E-04 
  3.04486919E-03   3.16489904E-03   3.13786628E-03   2.90691228E-03   2.36980557E-03   2.05345540E-03   1.61930805E-03   7.56117221E-04   3.54735095E-04   1.00681402E-04 
  1.05849581E-03   1.07202032E-03   1.06283259E-03   1.04783323E-03   1.02402718E-03   1.01116966E-03   9.98610976E-04   9.49583815E-04   8.87379761E-04   7.24286641E-04 
  1.18562647E-02   1.16941038E-02   1.12369178E-02   1.03660140E-02   8.89983836E-03   8.11954628E-03   7.20370535E-03   5.46591922E-03   4.55759162E-03   3.59836782E-03 
