rho_a(412)  rho_a(443)  rho_a(490)  rho_a(510)  rho_a(555)  rho_a(670)  rho_a(765)  rho_a(865)  
  1.70593290E-03   1.66461942E-03   1.57229623E-03   1.52709339E-03   1.43225015E-03   1.21168370E-03   1.06673277E-03   9.47506588E-04 
  6.26576928E-03   6.82487634E-03   7.48094422E-03   7.68121410E-03   8.07555473E-03   8.71712841E-03   9.02784365E-03   9.15561291E-03 
  2.98573530E-04   2.98295681E-04   2.85785777E-04   2.76257521E-04   2.56851198E-04   2.10133910E-04   1.80721138E-04   1.59601625E-04 
  3.69010105E-03   3.63793705E-03   3.39532956E-03   3.26046189E-03   2.93884406E-03   2.17769592E-03   1.67542181E-03   1.29636366E-03 
  5.28058914E-03   5.59629229E-03   5.71726157E-03   5.67234976E-03   5.43892242E-03   4.56347332E-03   3.78419627E-03   3.10640826E-03 
  5.36974653E-03   5.39045857E-03   5.08416816E-03   4.87595747E-03   4.39974018E-03   3.33227973E-03   2.68847599E-03   2.28037105E-03 
  2.88737056E-02   2.85506211E-02   2.69872251E-02   2.60913377E-02   2.39969058E-02   1.88140355E-02   1.50060893E-02   1.19335490E-02 
  2.58112334E-02   2.75830069E-02   2.82512038E-02   2.79918390E-02   2.68297949E-02   2.29144311E-02   1.98278943E-02   1.73939130E-02 
  4.71345852E-02   4.87619532E-02   4.90301245E-02   4.85457278E-02   4.65735905E-02   3.93353278E-02   3.26086547E-02   2.62298668E-02 
  5.17241814E-02   5.33639548E-02   5.33261947E-02   5.25398402E-02   5.00595598E-02   4.12891591E-02   3.34733390E-02   2.64373114E-02 
  1.80412804E-03   1.79489635E-03   1.78476917E-03   1.75477333E-03   1.72955318E-03   1.63443120E-03   1.59317179E-03   1.58563696E-03 
  3.65954577E-02   3.67315411E-02   3.55453752E-02   3.47399134E-02   3.27367027E-02   2.74718774E-02   2.34659986E-02   2.00427489E-02 
  3.63650374E-04   3.62996710E-04   3.36901012E-04   3.26925695E-04   3.04352309E-04   2.48681324E-04   2.12602586E-04   1.83502131E-04 
  1.12197343E-04   1.08490107E-04   1.00661185E-04   9.69724480E-05   8.89946600E-05   7.12029493E-05   5.88432632E-05   4.91565084E-05 
  1.45045747E-04   1.69528680E-04   1.92221828E-04   1.97993842E-04   2.03945691E-04   2.00327214E-04   1.90058772E-04   1.80565012E-04 
  1.42299300E-02   1.55821536E-02   1.66248045E-02   1.67358301E-02   1.68107290E-02   1.59878927E-02   1.52221788E-02   1.45091203E-02 
  8.84551018E-03   8.61119749E-03   8.05912919E-03   7.78235837E-03   7.16039358E-03   5.70968747E-03   4.71362970E-03   3.90758563E-03 
  1.56541684E-03   1.54416201E-03   1.47822542E-03   1.44701137E-03   1.38000050E-03   1.20466615E-03   1.08333086E-03   9.73382108E-04 
