R_toa(412)  R_toa(443)  R_toa(490)  R_toa(510)  R_toa(555)  R_toa(670)  R_toa(765)  R_toa(865)  
  6.12670576E-02   5.33926375E-02   4.51054418E-02   4.22840636E-02   3.77421604E-02   2.33564476E-02   1.38962680E-02   1.36885210E-02 
  3.70107071E-02   2.85575844E-02   1.96933479E-02   1.69248195E-02   1.17098165E-02   5.39964045E-03   2.66053340E-03   2.32339062E-03 
  5.27428162E-02   4.56371511E-02   3.88138911E-02   3.68437762E-02   3.26977841E-02   1.82599684E-02   9.42365232E-03   8.95803523E-03 
  4.31678342E-02   3.60505178E-02   3.08804592E-02   3.00677068E-02   2.84122702E-02   1.22224199E-02   5.66650254E-03   5.34278827E-03 
  6.46231971E-02   5.82807070E-02   5.46439740E-02   5.44162747E-02   5.52672672E-02   3.35738398E-02   1.66789375E-02   1.66883764E-02 
  3.26284697E-02   2.71531708E-02   2.29184695E-02   2.18817797E-02   1.96435556E-02   7.53467883E-03   2.89461250E-03   2.68535578E-03 
  6.82559242E-02   5.68385330E-02   4.35033702E-02   3.90982655E-02   3.17830234E-02   1.66228550E-02   7.34571907E-03   8.06678975E-03 
  7.06578188E-02   6.52532461E-02   5.72240240E-02   5.33739987E-02   4.51598346E-02   3.78578942E-02   2.45160328E-02   3.14707689E-02 
  5.31286970E-02   4.55667782E-02   3.55761457E-02   3.17504993E-02   2.40373639E-02   1.54111653E-02   7.72949173E-03   9.04947008E-03 
  4.17251531E-02   3.47094551E-02   3.01694482E-02   2.97039577E-02   2.80574877E-02   1.06904796E-02   3.59592184E-03   3.03276571E-03 
  4.09250892E-02   3.29731387E-02   2.62754984E-02   2.48599129E-02   2.21744512E-02   9.13017157E-03   4.00326114E-03   3.48046504E-03 
  3.85710278E-02   3.04594897E-02   2.25092009E-02   2.04021656E-02   1.79509253E-02   1.03515462E-02   5.39939923E-03   5.61582987E-03 
  4.16917430E-02   3.31465452E-02   2.50826370E-02   2.29475458E-02   2.05531765E-02   8.81618033E-03   3.86399301E-03   3.44134686E-03 
  3.82466057E-02   3.12823319E-02   2.42271775E-02   2.20134722E-02   1.75445995E-02   1.20536028E-02   8.57369316E-03   9.83721561E-03 
  5.69778326E-02   4.54891519E-02   3.22821495E-02   2.76189782E-02   1.87771049E-02   8.55373390E-03   4.08631731E-03   3.66607429E-03 
  3.39530043E-02   2.99582432E-02   2.91914627E-02   2.97945887E-02   3.52867782E-02   2.29384312E-02   5.37623093E-03   4.28880864E-03 
  2.63801953E-02   2.18085887E-02   1.72416152E-02   1.57655448E-02   1.26059956E-02   5.92309215E-03   2.81159311E-03   2.83180145E-03 
  6.54795195E-02   5.32847877E-02   3.92936088E-02   3.45275303E-02   2.49510225E-02   1.22446966E-02   5.99792302E-03   5.76128448E-03 
  5.48285795E-02   4.76668434E-02   3.96635491E-02   3.66981845E-02   3.00747057E-02   1.87487330E-02   1.11631484E-02   1.07800452E-02 
  5.67591871E-02   4.85120847E-02   3.76055001E-02   3.36513537E-02   2.61869439E-02   1.69147036E-02   8.80711441E-03   1.02635707E-02 
  6.22581623E-02   5.65607207E-02   4.95477634E-02   4.68922128E-02   4.19439309E-02   3.25028553E-02   2.02461130E-02   2.04328809E-02 
  6.25165136E-02   5.70704175E-02   4.96384409E-02   4.63891614E-02   3.95432882E-02   3.04549024E-02   1.92719139E-02   1.91182247E-02 
  4.84338325E-02   3.84490791E-02   2.86661637E-02   2.57111519E-02   1.97158221E-02   8.82899559E-03   4.48435664E-03   4.37156083E-03 
  6.02574892E-02   5.25370470E-02   4.35735700E-02   4.03236884E-02   3.39894596E-02   2.36505126E-02   1.50817712E-02   1.57695351E-02 
  4.08869516E-02   3.19011298E-02   2.28854924E-02   2.02066991E-02   1.48894580E-02   6.42380688E-03   3.11366374E-03   2.66470747E-03 
  3.82794034E-02   2.99949752E-02   2.12337803E-02   1.83748662E-02   1.27325560E-02   5.52124584E-03   2.71273558E-03   2.28942522E-03 
  5.74207471E-02   4.65046086E-02   3.54957191E-02   3.19092519E-02   2.54862157E-02   1.01874346E-02   4.19667911E-03   3.98467331E-03 
  3.51427308E-02   2.95628213E-02   2.34940982E-02   2.15111102E-02   1.78523472E-02   1.23443129E-02   7.77565810E-03   9.30057820E-03 
  4.81101155E-02   3.94296887E-02   3.12308065E-02   2.90179223E-02   2.53176452E-02   1.27238180E-02   6.83112944E-03   6.36206353E-03 
  3.87949283E-02   3.07510321E-02   2.29026539E-02   2.06456978E-02   1.58399532E-02   7.01257210E-03   3.50988054E-03   3.14127082E-03 
  4.59629680E-02   3.78147070E-02   2.87979966E-02   2.54373876E-02   1.85495930E-02   9.86184171E-03   5.46591400E-03   5.22676057E-03 
  6.24433150E-02   5.72074866E-02   5.15382306E-02   4.91698867E-02   4.33561425E-02   3.06386291E-02   1.81315444E-02   1.90669999E-02 
  5.78140467E-02   4.65290290E-02   3.36877651E-02   2.92110522E-02   2.03988400E-02   9.93500419E-03   4.74309839E-03   4.52764407E-03 
  3.14458899E-02   2.70604900E-02   2.54190247E-02   2.54202109E-02   3.01262524E-02   1.66258580E-02   3.82512142E-03   3.03473143E-03 
  4.83510920E-02   4.11426797E-02   3.51361952E-02   3.33441680E-02   3.40179530E-02   1.94602116E-02   8.72312844E-03   1.01986604E-02 
  4.71826585E-02   3.82453930E-02   3.06765435E-02   2.89868946E-02   2.60578656E-02   1.03014380E-02   3.67270351E-03   3.35104168E-03 
  3.83322699E-02   3.50063194E-02   3.69315546E-02   3.94346892E-02   5.00788958E-02   7.10199460E-02   3.09193494E-02   2.48780821E-02 
  3.60421282E-02   2.80348371E-02   2.05584546E-02   1.86613394E-02   1.68207765E-02   7.06161246E-03   2.97852472E-03   2.48506647E-03 
  6.16628783E-02   4.92700515E-02   3.60750567E-02   3.18560649E-02   2.35214515E-02   1.04035807E-02   4.88606553E-03   4.42908166E-03 
  8.45303815E-02   8.60983264E-02   8.59787922E-02   8.38959876E-02   7.73326781E-02   7.25379011E-02   4.35433374E-02   5.22583106E-02 
  4.24187494E-02   3.27307335E-02   2.26399206E-02   1.98271709E-02   1.60681707E-02   8.09813648E-03   3.15571208E-03   2.83723416E-03 
