t(412)  t(443)  t(490)  t(510)  t(555)  t(670)  t(765)  t(865)  
  7.64865957E-01   8.10605075E-01   8.62488225E-01   8.78369125E-01   9.07998749E-01   9.53879404E-01   9.73246592E-01   9.79977321E-01 
  8.19076826E-01   8.56980992E-01   8.98603159E-01   9.10975246E-01   9.33483848E-01   9.66529617E-01   9.79967992E-01   9.84745275E-01 
  7.22148309E-01   7.71374712E-01   8.29069718E-01   8.46987428E-01   8.80045233E-01   9.30661039E-01   9.53972343E-01   9.62998382E-01 
  8.25250438E-01   8.63587998E-01   9.04248393E-01   9.16030409E-01   9.37323262E-01   9.68146497E-01   9.80620262E-01   9.85398424E-01 
  8.41384011E-01   8.79189881E-01   9.19334944E-01   9.30592936E-01   9.49642450E-01   9.73926865E-01   9.84325588E-01   9.88254603E-01 
  8.11974846E-01   8.51113051E-01   8.93319549E-01   9.05778457E-01   9.28432566E-01   9.62882775E-01   9.77078660E-01   9.82535756E-01 
  8.60802465E-01   8.96180675E-01   9.31787160E-01   9.41427530E-01   9.57673379E-01   9.78892637E-01   9.87340993E-01   9.90362508E-01 
  7.04576152E-01   7.35956023E-01   7.76140927E-01   7.90900506E-01   8.21746804E-01   8.77833809E-01   9.06246556E-01   9.24024180E-01 
  8.15612356E-01   8.52184194E-01   8.89441757E-01   8.99815979E-01   9.18392344E-01   9.46936969E-01   9.51440298E-01   9.57668089E-01 
  7.31689933E-01   7.67755960E-01   8.10360487E-01   8.24378580E-01   8.51849281E-01   8.99697904E-01   9.21488721E-01   9.34984575E-01 
  5.01182225E-01   5.42839186E-01   5.97699501E-01   6.18015497E-01   6.59814475E-01   7.40943965E-01   7.94822175E-01   8.35223954E-01 
  6.77330640E-01   7.21682291E-01   7.72864413E-01   7.88718643E-01   8.18919028E-01   8.61815413E-01   8.87332423E-01   9.06872191E-01 
  8.80967163E-01   9.08908158E-01   9.36588363E-01   9.44307406E-01   9.58293059E-01   9.80056768E-01   9.87773067E-01   9.90650140E-01 
  7.13775134E-01   7.67842997E-01   8.31612873E-01   8.51460804E-01   8.88446115E-01   9.42419856E-01   9.65985682E-01   9.74600695E-01 
  7.92113525E-01   8.33641769E-01   8.80432539E-01   8.94684080E-01   9.20852850E-01   9.59516369E-01   9.75828472E-01   9.81803797E-01 
  7.79177573E-01   8.18813818E-01   8.62474997E-01   8.75766122E-01   9.00204451E-01   9.39785165E-01   9.57985195E-01   9.65651685E-01 
  8.56024933E-01   8.89260148E-01   9.22640489E-01   9.32028360E-01   9.49038162E-01   9.73981832E-01   9.83324341E-01   9.87119582E-01 
  7.99545243E-01   8.42591229E-01   8.88553705E-01   9.01482731E-01   9.24579474E-01   9.51533473E-01   9.60873060E-01   9.66804596E-01 
  7.05901288E-01   7.54478923E-01   8.17144152E-01   8.36949630E-01   8.74844204E-01   9.34372792E-01   9.58934126E-01   9.67782897E-01 
  8.02316867E-01   8.44862880E-01   8.91046744E-01   9.04311096E-01   9.27493355E-01   9.58113740E-01   9.71436739E-01   9.77684314E-01 
  8.28616601E-01   8.62929125E-01   8.97759603E-01   9.07808836E-01   9.26932718E-01   9.57416000E-01   9.68033627E-01   9.73759214E-01 
  8.68995294E-01   8.98447269E-01   9.29005060E-01   9.37813934E-01   9.53474811E-01   9.77352325E-01   9.85370313E-01   9.88535061E-01 
  8.77072136E-01   9.03314271E-01   9.29735866E-01   9.37294024E-01   9.50825621E-01   9.76335923E-01   9.86897551E-01   9.89407383E-01 
  8.39499635E-01   8.77443151E-01   9.17063313E-01   9.28097067E-01   9.47132668E-01   9.71948589E-01   9.82343694E-01   9.86453181E-01 
  8.55879986E-01   8.87189314E-01   9.17937422E-01   9.26330816E-01   9.41454409E-01   9.67916177E-01   9.77478646E-01   9.81719979E-01 
  8.45268427E-01   8.80848440E-01   9.17708585E-01   9.28328554E-01   9.47376461E-01   9.73538642E-01   9.84011044E-01   9.87993083E-01 
  6.84713791E-01   7.26822741E-01   7.75059658E-01   7.90426745E-01   8.19593239E-01   8.72534643E-01   9.00259539E-01   9.16693074E-01 
  7.12445846E-01   7.59433801E-01   8.14141849E-01   8.31275096E-01   8.63577267E-01   9.14824531E-01   9.41454727E-01   9.53543510E-01 
  7.82212889E-01   8.20111355E-01   8.61325700E-01   8.73064483E-01   8.93565203E-01   9.12999818E-01   9.09687813E-01   9.17135594E-01 
  7.70886570E-01   8.16554497E-01   8.68881385E-01   8.84876670E-01   9.14432502E-01   9.56754839E-01   9.74880046E-01   9.81209010E-01 
  6.82747421E-01   7.26206059E-01   7.79011928E-01   7.95785684E-01   8.26201151E-01   8.76536757E-01   9.06351634E-01   9.26125784E-01 
  7.90483695E-01   8.28289979E-01   8.70277848E-01   8.82902177E-01   9.04864876E-01   9.38224364E-01   9.54555916E-01   9.62249539E-01 
  6.91621278E-01   7.27140237E-01   7.69975826E-01   7.85043997E-01   8.16285914E-01   8.77077435E-01   9.08787843E-01   9.27375841E-01 
  8.68374158E-01   8.99019772E-01   9.30743897E-01   9.39867630E-01   9.56154574E-01   9.78518483E-01   9.87486214E-01   9.90653110E-01 
  8.19197642E-01   8.59816426E-01   9.03626402E-01   9.16249642E-01   9.38378428E-01   9.69163123E-01   9.81839377E-01   9.86444121E-01 
  7.30527805E-01   7.82479114E-01   8.42402925E-01   8.60790701E-01   8.94828244E-01   9.45392836E-01   9.66654304E-01   9.74874837E-01 
